conflict_id,type,message_id,message_hex,signal_name,source_files,decision,description
1,message,64,0x40,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 64 (0x40)
1. hyundai_canfd.dbc: GEAR_ALT (size: 32, sender: XXX)
2. hyundai_kia_generic.dbc: DATC14 (size: 8, sender: DATC)"
2,message,256,0x100,,"hyundai_canfd.dbc, hyundai_kia_mando_corner_radar_generated.dbc",1,"Conflict for message ID 256 (0x100)
1. hyundai_canfd.dbc: ACCELERATOR_BRAKE_ALT (size: 32, sender: XXX)
2. hyundai_kia_mando_corner_radar_generated.dbc: RADAR_POINTS_METADATA_0x100 (size: 64, sender: RADAR)"
3,message,304,0x130,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 304 (0x130)
1. hyundai_canfd.dbc: GEAR_SHIFTER (size: 16, sender: XXX)
2. hyundai_kia_generic.dbc: YRS11 (size: 8, sender: ACU)"
4,message,357,0x165,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 357 (0x165)
1. hyundai_canfd.dbc: SPAS1 (size: 24, sender: APRK)
2. hyundai_kia_generic.dbc: S_MDPS12 (size: 8, sender: XXX)"
5,message,352,0x160,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 352 (0x160)
1. hyundai_canfd.dbc: ADRV_0x160 (size: 16, sender: ADRV)
2. hyundai_kia_generic.dbc: AHB1 (size: 8, sender: iBAU)"
6,message,387,0x183,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 387 (0x183)
1. hyundai_canfd.dbc: CAM_0x183 (size: 32, sender: CAMERA)
2. hyundai_kia_generic.dbc: REA11 (size: 8, sender: REA)"
7,message,512,0x200,,"hyundai_canfd.dbc, hyundai_kia_mando_corner_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 512 (0x200)
1. hyundai_canfd.dbc: ADRV_0x200 (size: 8, sender: ADRV)
2. hyundai_kia_mando_corner_radar_generated.dbc: RADAR_POINTS_METADATA_0x200 (size: 64, sender: RADAR)
3. hyundai_kia_generic.dbc: EMS20 (size: 6, sender: EMS)"
8,message,513,0x201,,"hyundai_canfd.dbc, hyundai_kia_mando_corner_radar_generated.dbc",1,"Conflict for message ID 513 (0x201)
1. hyundai_canfd.dbc: RADAR_0x201 (size: 32, sender: FRONT_RADAR)
2. hyundai_kia_mando_corner_radar_generated.dbc: RADAR_POINTS_0x201 (size: 64, sender: RADAR)"
9,message,593,0x251,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 593 (0x251)
1. hyundai_canfd.dbc: RADAR_0x251 (size: 16, sender: FRONT_RADAR)
2. hyundai_kia_generic.dbc: MDPS12 (size: 8, sender: MDPS)"
10,message,1151,0x47F,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1151 (0x47F)
1. hyundai_canfd.dbc: HVAC_TOUCH_BUTTONS (size: 8, sender: XXX)
2. hyundai_kia_generic.dbc: ESP11 (size: 6, sender: ESC)"
11,message,354,0x162,,"hyundai_canfd.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 354 (0x162)
1. hyundai_canfd.dbc: MSG_162 (size: 32, sender: CCNC)
2. hyundai_kia_generic.dbc: TCU_DCT13 (size: 3, sender: TCU)"
12,message,1280,0x500,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1280 (0x500)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_500 (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: ACU14 (size: 1, sender: ACU)"
13,message,1281,0x501,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1281 (0x501)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_501 (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: ECS11 (size: 3, sender: ECS)"
14,message,1282,0x502,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1282 (0x502)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_502 (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: TCU14 (size: 4, sender: TCU)"
15,message,1287,0x507,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1287 (0x507)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_507 (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: TCS15 (size: 4, sender: ESC)"
16,message,1290,0x50A,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1290 (0x50A)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_50a (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: SCC13 (size: 8, sender: SCC)"
17,message,1292,0x50C,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1292 (0x50C)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_50c (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: CLU13 (size: 8, sender: CLU)"
18,message,1301,0x515,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1301 (0x515)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_515 (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: CLU14 (size: 8, sender: CLU)"
19,message,1307,0x51B,,"hyundai_kia_mando_front_radar_generated.dbc, hyundai_kia_generic.dbc",1,"Conflict for message ID 1307 (0x51B)
1. hyundai_kia_mando_front_radar_generated.dbc: RADAR_TRACK_51b (size: 8, sender: RADAR)
2. hyundai_kia_generic.dbc: CLU16 (size: 8, sender: CLU)"
