2025-06-10 00:44:03.548 | DEBUG    | concierge.api.v1.websocket.terminal      | setup_logging        | L76   | Logger initialized for module: api.v1.websocket.terminal
2025-06-10 00:44:03.548 | DEBUG    | concierge.api.v1.websocket.terminal      | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_api_v1_websocket_terminal_20250610.log
2025-06-10 00:44:03.548 | DEBUG    | concierge.api.v1.websocket.terminal      | setup_logging        | L78   | Debug mode: True
2025-06-10 00:44:03.548 | INFO     | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L213  | === TERMINAL WEBSOCKET ENDPOINT CALLED ===
2025-06-10 00:44:03.548 | DEBUG    | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L214  | Client: Address(host='127.0.0.1', port=47934)
2025-06-10 00:44:03.548 | DEBUG    | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L215  | Headers: {'host': 'localhost:5055', 'upgrade': 'websocket', 'connection': 'Upgrade', 'sec-websocket-key': 'r+ZdWPRlxrazF3tY3W4G7w==', 'sec-websocket-version': '13', 'sec-websocket-extensions': 'permessage-deflate; client_max_window_bits', 'user-agent': 'Python/3.11 websockets/15.0.1'}
2025-06-10 00:44:03.548 | DEBUG    | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L216  | Query params: {'session_id': 'test-session'}
2025-06-10 00:44:03.549 | DEBUG    | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L220  | PTY Manager instance: <openpilot.selfdrive.chauffeur.concierge.core.services.terminal.pty_manager.PTYManager object at 0x72b2122a6ad0>
2025-06-10 00:44:03.549 | INFO     | concierge.api.v1.websocket.terminal      | handle_connection    | L32   | === NEW WEBSOCKET CONNECTION ===
2025-06-10 00:44:03.549 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_connection    | L33   | WebSocket client: Address(host='127.0.0.1', port=47934)
2025-06-10 00:44:03.549 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_connection    | L34   | WebSocket headers: Headers({'host': 'localhost:5055', 'upgrade': 'websocket', 'connection': 'Upgrade', 'sec-websocket-key': 'r+ZdWPRlxrazF3tY3W4G7w==', 'sec-websocket-version': '13', 'sec-websocket-extensions': 'permessage-deflate; client_max_window_bits', 'user-agent': 'Python/3.11 websockets/15.0.1'})
2025-06-10 00:44:03.549 | INFO     | concierge.api.v1.websocket.terminal      | handle_connection    | L37   | WebSocket connection accepted
2025-06-10 00:44:03.549 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_connection    | L42   | Waiting for client message...
2025-06-10 00:44:03.551 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_connection    | L44   | Received message: {"type": "init", "session_id": "test-session", "rows": 24, "cols": 80}...
2025-06-10 00:44:03.551 | INFO     | concierge.api.v1.websocket.terminal      | handle_init          | L108  | === HANDLE INIT ===
2025-06-10 00:44:03.551 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L109  | Init data: {'type': 'init', 'session_id': 'test-session', 'rows': 24, 'cols': 80}
2025-06-10 00:44:03.552 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L112  | Session ID: test-session
2025-06-10 00:44:03.552 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L115  | Validating session ID: test-session
2025-06-10 00:44:03.552 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L117  | Session ID validation result: True
2025-06-10 00:44:03.552 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L130  | Creating PTY process...
2025-06-10 00:44:03.556 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L136  | PTY process created: PTYProcess(pid=21770, master_fd=27, slave_fd=28)
2025-06-10 00:44:03.556 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L139  | Starting PTY reader...
2025-06-10 00:44:03.557 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L144  | PTY reader task: <Task pending name='Task-10' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 00:44:03.557 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_init          | L147  | Sending init success...
2025-06-10 00:44:03.557 | INFO     | concierge.api.v1.websocket.terminal      | handle_init          | L152  | Terminal initialization complete
2025-06-10 00:44:03.557 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_connection    | L42   | Waiting for client message...
2025-06-10 00:44:03.559 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_pty_output    | L184  | handle_pty_output called with 2 bytes
2025-06-10 00:44:03.559 | DEBUG    | concierge.api.v1.websocket.terminal      | handle_pty_output    | L190  | Output sent to client
2025-06-10 00:44:03.561 | INFO     | concierge.api.v1.websocket.terminal      | handle_connection    | L48   | WebSocket disconnected for session test-session
2025-06-10 00:44:44.604 | INFO     | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L213  | === TERMINAL WEBSOCKET ENDPOINT CALLED ===
2025-06-10 00:44:44.605 | DEBUG    | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L214  | Client: Address(host='127.0.0.1', port=55699)
2025-06-10 00:44:44.606 | DEBUG    | concierge.api.v1.websocket.terminal      | terminal_websocket_endpoint | L215  | Headers: {'host': 'localhost:5055', 'connection': 'Upgrade', 'pragma': 'no-cache', 'cache-control': 'no-cache', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0', 'upgrade': 'websocket', 'origin': 'http://localhost:5055', 'sec-websocket-version': '13', 'accept-encoding': 'gzip, deflate, br, zstd', 'accept-language': 'en-US,en;q=0.9', 'sec-websocket-key': 'CilpC7wII29RJ+xhdV4FyA==', 'sec-websocket-extensions': 'permessage-deflate; client_max_window_bits'}
