2025-06-10 00:44:03.546 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 00:44:03.546 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_security_terminal_security_20250610.log
2025-06-10 00:44:03.546 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L78   | Debug mode: True
2025-06-10 00:44:03.552 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: test-session
2025-06-10 00:44:03.552 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: test-session
2025-06-10 00:44:03.553 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: test-session
2025-06-10 00:44:03.553 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: test-session
2025-06-10 00:44:44.622 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:44:44.622 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:44:44.623 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:44:44.624 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:46:55.091 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:46:55.092 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:46:55.094 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:46:55.094 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:46:58.677 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:46:58.678 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:46:58.680 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:46:58.680 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:48:40.852 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:48:40.852 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:48:40.853 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:48:40.853 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:49:44.554 | WARNING  | concierge.core.security.terminal_security | validate_input       | L71   | Dangerous control characters in input
2025-06-10 00:49:44.555 | WARNING  | concierge.core.security.terminal_security | log_security_event   | L218  | SECURITY EVENT: INVALID_INPUT for session terminal-main-session: {'data_length': 1}
2025-06-10 00:53:39.610 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:53:39.610 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 00:53:39.611 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 00:53:39.611 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 01:18:48.673 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 01:18:48.673 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 01:18:48.675 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 01:18:48.675 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 01:19:04.727 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 01:19:04.727 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 01:19:04.728 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 01:19:04.728 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 01:19:22.022 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 01:19:22.022 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 01:19:22.025 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
