2025-06-10 00:44:03.547 | DEBUG    | concierge.core.services.terminal.pty_manager | setup_logging        | L76   | Logger initialized for module: core.services.terminal.pty_manager
2025-06-10 00:44:03.547 | DEBUG    | concierge.core.services.terminal.pty_manager | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_services_terminal_pty_manager_20250610.log
2025-06-10 00:44:03.547 | DEBUG    | concierge.core.services.terminal.pty_manager | setup_logging        | L78   | Debug mode: True
2025-06-10 00:44:03.552 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 00:44:03.552 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: test-session
2025-06-10 00:44:03.552 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 24, Cols: 80
2025-06-10 00:44:03.552 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 00:44:03.553 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 00:44:03.555 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 21770 for session test-session
2025-06-10 00:44:03.556 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session test-session
2025-06-10 00:44:03.556 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=21770, FD=27
2025-06-10 00:44:03.556 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L263  | Creating reader task for session test-session
2025-06-10 00:44:03.556 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L266  | Reader task created: <Task pending name='Task-10' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 00:44:03.557 | DEBUG    | concierge.core.services.terminal.pty_manager | reader               | L214  | Reader task started for session test-session
2025-06-10 00:44:03.559 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #1)
2025-06-10 00:44:04.062 | INFO     | concierge.core.services.terminal.pty_manager | terminate_pty        | L308  | Terminated PTY process for session test-session
2025-06-10 00:44:44.623 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 00:44:44.623 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: terminal-main-session
2025-06-10 00:44:44.623 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 00:44:44.623 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 00:44:44.623 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 00:44:44.628 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 21773 for session terminal-main-session
2025-06-10 00:44:44.631 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session terminal-main-session
2025-06-10 00:44:44.631 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=21773, FD=28
2025-06-10 00:44:44.631 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L263  | Creating reader task for session terminal-main-session
2025-06-10 00:44:44.632 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L266  | Reader task created: <Task pending name='Task-18' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 00:44:44.634 | DEBUG    | concierge.core.services.terminal.pty_manager | reader               | L214  | Reader task started for session terminal-main-session
2025-06-10 00:44:44.635 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #1)
2025-06-10 00:44:56.668 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 33 bytes from PTY (read #2)
2025-06-10 00:45:09.446 | INFO     | concierge.core.services.terminal.pty_manager | terminate_pty        | L308  | Terminated PTY process for session terminal-main-session
2025-06-10 00:46:55.093 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 00:46:55.093 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: terminal-main-session
2025-06-10 00:46:55.094 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 00:46:55.094 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 00:46:55.094 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 00:46:55.099 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 21804 for session terminal-main-session
2025-06-10 00:46:55.103 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session terminal-main-session
2025-06-10 00:46:55.103 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=21804, FD=27
