2025-06-09 22:07:33.507 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 22:07:33.510 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 22:07:33.510 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 22:08:03.368 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 22:08:03.369 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 22:08:03.369 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 22:13:00.405 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 22:13:00.406 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 22:13:00.406 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 22:13:29.506 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 22:13:29.506 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 22:13:29.506 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 22:25:17.438 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 22:25:17.438 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 22:25:17.438 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 22:33:25.801 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 22:33:25.801 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 22:33:25.802 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 23:39:51.165 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 23:39:51.167 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 23:39:51.168 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 23:40:12.732 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 23:40:12.732 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 23:40:12.732 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
2025-06-09 23:40:36.733 | DEBUG    | concierge.master                         | setup_logging        | L76   | Logger initialized for module: master
2025-06-09 23:40:36.733 | DEBUG    | concierge.master                         | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_master_20250609.log
2025-06-09 23:40:36.733 | DEBUG    | concierge.master                         | setup_logging        | L78   | Debug mode: True
